gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
PDPK1,61,1411,23,2009,1932,3349,4125,3291,2806,3163,2160,1753,2714,3577,3646,2526,7228,1475,1977,1580
PDPN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
PDPR,71,3809,23,3595,1220,3996,3944,3066,3833,3230,4998,2143,4721,1456,4476,2835,2173,6914,3276,2342
PDRG1,45,477,39,542,330,485,359,176,342,1103,473,394,582,259,860,773,730,469,449,727
PDS5A,231,6278,137,4787,5026,9169,7280,4837,5828,9033,6354,4915,7810,5508,6525,9235,1092,7223,7828,9130
PDS5B,54,2860,30,1901,1002,2088,1813,1607,1982,2303,1637,1447,1750,2292,1744,2443,106,1541,1905,955
PDSS1,10,335,4,375,284,173,240,286,310,484,289,262,162,143,118,498,96,103,238,287
PDSS2,19,448,8,440,397,672,412,400,655,847,595,256,590,399,499,1000,426,439,716,405
PDX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PDXDC1,224,3573,68,3336,2820,3507,2633,2515,3986,3734,3317,2224,3507,2742,3523,4622,3826,1676,3167,2461
PDXDC2P,72,1180,7,1340,579,742,1070,853,734,453,469,263,758,657,704,877,411,574,554,363
PDXK,183,1127,269,4823,2893,2560,3000,5239,3316,3030,1762,2264,2447,5875,1713,2036,14136,1719,1851,1321
PDXP,45,754,14,641,447,753,861,305,570,1661,857,570,898,266,983,1081,2247,609,933,1142
PDYN,0,0,0,1,6,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0
PDZD11,26,351,15,330,229,367,245,119,279,547,116,214,331,190,622,458,176,239,329,427
PDZD2,8,63,0,182,104,298,204,48,33,83,34,38,89,46,3025,24,56,23,21,51
PDZD3,0,9,1,7,26,13,13,42,1,3,3,3,2,4,7,4,32,5,2,1
PDZD4,7,77,31,262,101,26,65,120,211,38,18,68,244,54,44,7,47,9,33,21
PDZD7,4,26,6,96,53,88,157,66,57,256,225,68,52,106,95,83,173,204,163,116
PDZD8,7,320,10,562,7276,2946,1005,2779,3422,3784,2967,2774,9757,1697,8109,1246,3441,819,1441,1639
PDZD9,0,9,0,10,0,5,9,4,3,2,1,7,4,3,6,3,0,6,9,2
PDZK1,6,20,6,15,13,21,23,37,13,13,13,15,19,8,25,19,4,15,20,13
PDZK1IP1,3,23,1,760,79,51,2,6,6,18,0,12,97,3,65,2,39,1,15,9
PDZK1P1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0
PDZRN3,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0
PDZRN4,3,1,0,1,2,28,1,48,39,2,1,1,3,0,85,4,1446,3,4,0
PEA15,35,1523,15,3072,1998,4249,2799,1405,2477,2463,562,2639,2604,2668,1771,3499,1249,376,1482,2155
PEAK1,25,1615,32,1472,2034,1790,2409,1659,997,1553,959,1843,1066,2822,3935,1104,829,2016,894,1079
PEAR1,12,1,2,304,620,156,1212,37,21,725,23,1237,160,163,2640,17,724,23,57,60
PEBP1,245,8164,118,5838,3314,4072,4170,1131,2122,10098,4343,2710,5568,1691,5978,7254,5309,4043,6609,7911
PEBP4,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1
PECAM1,289,3216,242,6777,3105,5336,12187,7850,7017,8362,1041,4404,3681,7908,4162,4369,2142,266,2781,2475
PECR,1,7,0,116,743,148,76,559,204,132,23,230,52,951,79,108,58,2,6,26
PEF1,65,1806,56,1784,1961,1577,1932,1324,1431,2686,761,1579,1584,2017,3736,1874,5025,1214,1296,1718
PEG10,2,0,0,9,15,15,16,4,20,1,6,2,65,6,3517,5,1,0,3,0
PEG3,0,1,4,7,50,0,2,50,1,0,0,47,0,0,47,0,0,0,15,0
PEG3.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PELI1,21,396,21,2002,9098,1982,1738,3809,4028,1241,288,1418,1596,1139,1041,1549,835,69,441,918
PELI2,7,1142,12,1707,1870,1477,2649,3044,375,1974,967,1000,1925,1956,3571,1320,1240,1038,563,641
PELI3,6,86,4,251,126,381,454,328,411,234,73,240,200,552,87,423,373,63,71,99
PELO,22,342,11,495,445,600,211,239,850,874,316,394,358,693,716,839,964,332,496,306
PELP1,708,3416,565,2789,1412,1543,2024,1082,1768,3232,2266,1654,1766,816,2473,2487,4673,1444,1936,1710
PEMT,30,182,10,233,256,333,337,188,415,763,395,319,434,156,542,457,1144,186,622,725
PENK,1,0,0,1,0,43,1,7,19,3,0,2,2,0,0,21,0,0,0,0
PEPD,37,629,13,1403,829,1720,2530,1667,1906,2575,808,1179,1908,2290,2988,2105,3526,443,781,2168
PER1,252,7129,202,4912,4867,2060,2315,2143,13695,1868,1566,1487,4450,1645,2183,3438,5704,1798,4031,2201
PER2,33,381,19,441,596,528,727,439,850,735,881,535,727,601,661,954,1368,516,592,611
PER3,25,8,15,87,452,64,204,47,17,66,4,123,711,47,763,14,80,6,376,323
PER4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERP,0,3,0,9,6,0,20,7,18,14,2,7,20,165,6,8,9,0,8,2
PES1,537,3626,385,2863,1486,1810,2156,1033,1778,3902,2455,1574,2354,1162,1923,3418,3868,1640,2519,3360
PET100,154,1698,40,1575,876,755,877,749,815,1312,508,513,793,737,602,949,930,499,605,952
PET112,48,724,27,698,457,761,503,405,620,1412,659,509,896,341,662,1070,799,754,925,902
PET117,6,51,5,49,16,19,25,9,28,42,23,20,28,18,16,35,63,21,22,40
PEX1,91,1393,41,1591,784,1395,1090,638,1053,1246,956,242,1455,560,681,1132,217,908,821,961
PEX10,10,212,0,267,315,278,328,164,182,516,259,207,439,177,323,394,1060,232,416,543
PEX11A,19,108,9,223,42,428,84,43,217,186,118,112,260,82,443,238,86,139,282,243
PEX11B,57,859,35,1063,360,1154,909,536,751,1346,654,772,948,843,1337,1237,1210,790,1021,658
PEX11G,7,19,7,28,36,99,48,35,120,74,32,35,97,22,47,80,365,18,37,141
PEX12,15,100,1,246,25,299,40,31,158,273,109,134,139,120,326,319,115,281,164,46
PEX13,30,907,9,891,233,1161,805,310,743,1048,624,517,720,633,812,1246,375,1099,578,582
PEX14,71,811,23,642,303,574,619,348,510,962,373,496,677,575,692,638,1636,568,645,702
PEX16,232,1071,120,1346,683,772,812,869,879,1532,601,549,1141,702,968,880,3611,744,678,1189
PEX19,24,1010,20,1158,1401,2333,2725,1844,1653,2872,1489,1490,2575,2089,2529,2055,1456,1463,1729,1920
PEX2,42,1294,18,1219,526,1774,1137,800,1160,1706,914,802,1517,2001,1660,1550,239,1106,976,996
PEX26,23,1161,13,1334,1272,2034,2307,1566,1390,2605,1730,1353,2049,1122,2330,2284,3074,1267,1671,1933
PEX3,5,435,3,381,286,455,352,191,437,649,348,320,542,233,693,540,91,272,506,509
PEX5,90,1830,57,1225,674,1217,1293,823,1313,2305,1112,1052,1814,1124,1932,1475,2344,806,1223,1733
PEX5L,0,2,0,5,6,5,33,8,0,2,10,8,2,25,11,3,0,1,0,4
PEX6,227,4158,225,3350,1279,2298,917,1405,2828,2244,1169,1317,2352,1312,3482,1699,5469,2443,1283,1127
PEX7,12,148,5,138,182,163,169,112,204,390,212,76,210,155,226,295,124,95,193,225
PF4,24,5,48,56,3604,195,8,70,209,1419,1,1735,1098,287,27,93,107,4,467,72
PF4V1,0,0,0,1,12,1,0,0,0,1,0,0,1,2,2,1,20,0,0,1
PFAS,192,1614,79,1848,1599,1419,1775,938,1561,3470,3645,1821,1863,449,2085,3705,4685,1128,2647,3503
PFDN1,34,1701,10,1636,1168,1709,1473,1245,1335,2543,1028,1128,1733,1195,828,1966,1666,976,1466,1867
PFDN2,71,2223,35,1290,729,881,856,435,923,1571,744,702,1039,535,731,1282,1299,651,804,1289
PFDN4,22,924,21,665,234,381,327,320,421,681,369,245,546,403,535,506,27,838,290,427
PFDN5,1471,11293,1656,15168,4790,8512,10467,9052,7921,15814,4707,3736,11740,8864,7331,9183,4602,11971,5748,8003
PFDN6,159,1256,45,1176,750,751,839,572,866,1419,753,691,877,384,525,1337,1153,588,849,1143
PFKFB1,1,3,1,19,5,9,7,7,12,5,13,6,6,1,4,8,13,2,1,5
PFKFB2,1,506,4,466,3648,211,771,2190,133,888,44,1198,166,3198,1386,174,766,5,17,47
PFKFB3,66,1626,30,1723,11102,2180,4615,3690,7522,2316,1019,2192,7018,4461,1901,2269,11872,1101,976,1123
PFKFB4,51,108,29,741,2147,1459,816,2510,1456,1882,533,943,640,1841,1222,1236,4742,234,169,180
PFKL,1318,6312,750,6310,8473,8470,9519,5270,7718,10822,6329,6366,11342,6388,12428,9192,27293,5760,8130,11152
PFKM,14,153,4,490,623,436,287,114,99,206,70,452,534,112,1429,93,203,83,107,127
PFKP,1239,3470,711,2352,1591,4817,5457,1021,5166,4790,3542,3842,6446,1173,3968,7668,4981,6189,5846,8455
PFN1,927,28932,482,32611,41814,28648,22980,36944,27968,52372,16407,39055,24376,28270,28805,31923,130515,12082,25441,35635
PFN1P2,1,28,1,140,36,107,15,56,29,12,50,13,30,52,116,32,6,16,101,29
PFN2,2,2,0,20,25,21,9,16,13,7,1,14,25,17,523,9,1,1,4,12
PFN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PFN4,11,54,4,25,12,25,7,5,11,15,8,10,19,4,8,18,20,11,4,20
PGA3,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0
PGA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGA5,0,3,0,2,2,3,2,0,0,0,0,16,0,0,3,2,4,0,0,0
PGAM1,40,980,17,2275,3385,5121,3820,4298,4755,3867,2818,2727,3019,5190,825,5398,6143,1055,3469,3449
PGAM1P5,0,0,0,1,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,5
PGAM2,24,282,8,451,939,368,337,474,112,471,170,93,632,438,306,235,1094,437,160,115
PGAM4,0,0,0,4,5,6,2,9,14,6,4,1,2,4,1,7,4,5,1,3
PGAM5,38,1651,14,1218,885,1076,1389,799,1185,2402,1613,1129,1223,555,1607,2236,2147,1087,2013,2163
PGAP1,2,19,4,318,328,227,275,224,402,66,144,126,264,208,1176,142,25,569,109,93
PGAP2,117,1155,115,921,729,820,679,425,577,1177,869,532,846,327,1162,724,1282,497,754,882
PGAP3,93,400,71,823,346,914,458,411,322,1158,451,539,932,343,1871,527,1890,649,764,803
PGBD1,78,44,41,279,140,426,160,64,138,376,123,179,496,31,557,332,176,256,362,512
PGBD2,64,324,23,527,200,632,354,200,440,710,514,278,398,456,600,924,479,341,257,232
PGBD3,6,139,7,141,73,120,86,79,132,113,73,64,113,103,205,116,5,47,97,115
PGBD4,55,347,8,281,80,378,237,46,206,308,292,95,261,65,177,369,48,313,230,190
PGBD5,0,3,0,0,0,9,2,2,7,4,1,4,4,0,0,4,5,1,0,0
PGC,0,3,0,10,1,5,0,1,1,5,0,4,2,2,9,4,22,1,0,1
PGCP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGD,580,4882,357,13039,30527,15798,13684,27367,18711,22406,8283,14240,12370,29600,7648,24092,51221,6084,15564,10888
PGF,3,2,0,17,11,16,13,13,8,53,8,76,8,5,11,23,83,2,15,50
PGGT1B,11,479,2,682,395,1093,692,800,936,736,657,439,762,850,727,1082,223,557,559,381
PGK1,344,8050,188,11463,20021,22581,17499,19150,19384,30115,15291,13898,21557,23285,10597,26453,17790,10497,18610,20475
PGK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGLS,247,1722,266,3043,1856,1994,2507,2185,1947,4114,1542,1517,2733,2130,1908,2193,10077,2119,2270,2600
PGLYRP1,3,15,0,839,13569,37,44,11161,502,2377,16,7410,166,9260,596,40,59077,6,206,158
PGLYRP2,0,21,1,29,15,1,9,13,5,45,0,13,6,13,47,2,56,3,5,3
PGLYRP3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
PGLYRP4,2,0,0,2,4,0,0,1,3,3,0,2,7,1,2,0,5,0,0,0
PGM1,36,983,22,872,2429,1047,1134,1954,1818,1693,2963,1414,1725,3357,1945,2628,8237,657,2644,2834
PGM2,84,1899,47,1400,1768,2538,1884,2401,2982,2902,2525,1762,2098,1706,2174,3749,1095,2022,2327,1802
PGM2L1,16,382,5,428,359,989,663,423,345,463,359,618,952,715,1255,476,79,669,255,735
PGM3,27,503,22,653,235,788,516,554,726,478,447,382,698,487,639,901,44,193,524,221
PGM5,0,16,0,43,57,8,4,152,4,10,2,0,9,159,10,2,0,0,0,0
PGM5.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGM5P2,5,49,7,40,21,43,34,20,27,57,34,38,61,39,49,45,3,35,19,34
PGP,276,1274,185,1613,1125,936,867,1018,1013,1539,652,847,1155,1008,420,1360,3893,702,874,1065
PGPEP1,166,2180,121,1814,1303,2892,3475,2490,2217,3393,2954,1249,3230,2655,4647,1744,4553,2485,2549,1694
PGPEP1L,0,0,0,1,3,0,0,1,1,3,0,0,0,0,2,1,4,0,0,2
PGR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC1,23,1229,4,1139,1350,1534,1244,883,1220,2171,1013,923,1271,1055,2517,1796,1485,907,1227,2050
PGRMC2,248,1751,61,1662,722,1734,1246,623,1582,1871,1626,1332,1763,1015,1999,2066,697,1550,1406,1124
PGS1,68,1605,24,1561,2915,2461,1689,1365,2636,2830,1443,1269,2375,1387,1942,2209,4027,1898,1487,1365
PHACTR1,16,311,8,235,320,470,233,130,397,916,510,350,639,43,738,686,714,484,799,349
PHACTR2,29,1141,26,1273,1725,1673,2293,2166,1385,1725,485,915,1501,1393,2444,1348,862,1209,1739,804
PHACTR3,5,0,2,0,172,122,6,395,344,10,11,7,22,23,10,412,52,0,12,2
PHACTR4,53,1154,37,1171,1234,2860,2270,1314,2050,2569,1561,1439,2294,1152,4233,2271,1824,1788,1787,1264
PHAX,29,736,29,808,225,1071,762,194,699,1098,738,714,934,807,486,1376,340,711,865,509
PHB,89,3358,53,2244,1971,1986,2237,1234,2319,6002,2760,2195,2540,1307,3018,4721,4828,1778,3270,4367
PHB2,436,5528,215,5528,3900,4914,6188,3784,4197,12884,6091,4149,6744,3773,8079,7256,14355,4322,6511,9512
PHC1,175,1656,29,997,441,1836,1291,301,1122,1696,1176,1074,2317,212,3373,1264,852,1052,965,1403
PHC2,122,3226,149,4950,7100,4549,5938,5060,4983,5228,2308,3235,4365,9816,3814,4403,11151,2390,2790,2957
PHC3,97,3445,65,3050,4675,3790,4233,4459,3187,2651,2517,2517,3261,2511,3573,3679,817,2946,2101,2019
PHEX,0,2,0,1,1,4,5,2,1,2,0,8,1,1,0,3,0,1,9,1
PHEX.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHF1,638,3987,267,3804,3463,1940,2587,1987,2093,2301,1401,2176,3305,1543,3826,1476,6249,3158,1402,1883
PHF10,142,1749,22,874,766,1046,1222,807,1227,1481,1390,877,1387,855,1565,1618,336,1298,1225,1173
PHF11,213,2047,305,2558,969,1982,1777,1206,1641,1701,646,1210,1215,1129,1041,1555,294,951,1158,996
PHF12,209,3219,91,3424,2915,3193,3380,3246,2980,3200,2132,1954,3241,2211,4748,2722,5437,2214,1813,2047
PHF13,38,633,32,534,568,453,819,295,415,630,242,337,167,696,1235,509,623,407,399,319
PHF14,1100,1630,1480,1682,890,2338,1941,839,1519,2798,2032,594,2731,704,1201,2301,513,1767,1689,1571
PHF15,121,1769,94,1706,942,3764,4109,1217,2944,4380,2078,2322,3509,1211,3575,2901,5183,3361,3140,2951
PHF16,10,485,3,364,237,616,432,71,552,503,606,479,536,127,1437,923,207,605,568,450
PHF17,83,2422,74,1910,1571,1282,1674,1235,1784,2744,2246,1218,1702,1359,1829,2397,2431,1511,1398,1021
PHF19,124,3677,72,2472,2562,2140,1985,1702,1927,3565,2018,1349,2668,1966,2522,3080,10185,2571,1862,2511
PHF2,45,1903,32,2659,2151,2823,2658,3128,2346,2723,1849,1814,2524,3433,2510,2338,7623,1778,1642,1510
PHF20,102,1588,52,1631,1181,4102,2538,1642,2407,3066,1581,1647,2292,2212,3027,3577,1606,2353,2933,1357
PHF20L1,108,1922,112,2418,2750,3610,2574,3178,3410,3298,1734,1949,2606,3932,3010,3690,640,1816,1904,1635
PHF21A,297,3024,198,3622,5178,5008,2790,4955,5029,3480,2737,2537,3444,5364,3877,3206,4294,2395,2010,2033
PHF21B,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
PHF23,168,1411,91,1738,329,1340,1168,450,1118,1964,1017,769,1207,1278,1403,1757,2308,1388,1178,627
PHF3,113,5353,66,3900,3274,4853,4719,3029,4323,5549,3800,2734,4752,4034,5294,5855,493,5093,3042,2003
PHF5A,30,1027,24,923,691,767,686,558,768,1544,689,533,887,592,792,1340,585,797,720,762
PHF6,23,464,2,1054,994,2115,1222,832,1480,2018,1539,2076,2146,1100,2182,2111,134,1588,1757,1103
PHF7,101,477,27,552,371,524,428,310,590,649,991,323,812,230,520,663,910,588,416,408
PHF8,43,2960,24,2265,1403,2585,2188,2137,2597,2451,2035,1408,2389,1914,2507,2466,4901,1525,1877,1110
PHGDH,250,2380,37,1460,1499,241,713,135,533,216,2921,428,210,335,2221,1490,229,520,802,1913
PHGR1,1,5,0,2,4,14,3,3,5,3,13,3,13,13,3,15,9,2,8,8
PHIP,292,5214,201,4673,3507,6269,5556,5923,5725,4599,5731,2790,5225,4183,6307,5733,609,3519,3292,3428
PHKA1,8,1154,9,412,212,217,100,16,83,59,505,86,113,48,135,37,25,227,111,118
PHKA2,432,2880,355,2142,2187,3213,2034,2890,4065,3211,3114,1676,3088,2004,2552,3885,4688,2440,2032,1999
PHKA2.AS1,3,38,6,36,12,22,18,25,23,10,15,9,23,7,19,24,17,10,11,7
PHKB,244,4163,179,3454,2626,7267,2978,2545,4263,6600,3676,3206,5063,2573,3073,4660,1025,4179,5384,3479
PHKG1,17,71,4,104,28,43,46,65,64,36,40,11,45,19,32,36,89,41,38,40
PHKG2,770,2420,755,3018,1394,1526,1404,1547,1314,2175,1157,901,1863,773,1314,1759,4689,1053,1141,1555
PHLDA1,28,156,4,240,84,139,198,37,2177,16,67,58,938,497,50,329,138,494,297,163
PHLDA2,0,3,0,19,11,14,127,12,94,5,0,40,37,14,6,36,8,13,9,15
PHLDA3,26,372,7,101,22,155,89,22,226,239,91,196,82,470,56,261,293,156,214,200
PHLDB1,44,20,3,150,107,314,64,5,18,22,5,423,102,124,344,49,689,65,34,136
PHLDB2,0,16,1,23,62,6,135,13,25,6,3,21,94,21,1954,11,4,2,9,30
PHLDB3,80,231,71,279,108,173,395,80,178,387,47,205,311,65,600,239,892,434,296,267
PHLPP1,88,1317,30,540,652,846,815,631,507,1498,651,833,944,955,4817,862,2084,1366,1285,535
PHLPP2,11,154,5,367,177,453,658,267,341,221,166,349,384,385,422,304,37,242,172,177
PHOSPHO1,3,23,3,263,193,105,90,469,90,49,1,320,126,38,92,72,1378,2,27,36
PHOSPHO2,8,89,5,76,47,141,61,22,58,109,89,43,123,40,146,137,4,89,79,100
PHOSPHO2.KLHL23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHOX2A,0,5,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,2
PHOX2B,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHPT1,212,1390,221,1322,867,897,935,912,1348,2355,1581,820,993,1183,496,1764,4397,1334,1604,2012
PHRF1,163,2384,117,2122,1192,2386,2450,1434,2334,2887,1779,1451,2107,1727,2086,2898,6798,1787,1961,1367
PHTF1,130,1860,90,792,862,1307,758,719,818,1465,599,745,935,659,1257,1438,681,1114,1229,734
PHTF2,130,1597,103,1080,870,1281,1455,1120,1096,1000,755,487,971,668,447,1595,142,744,910,873
PHYH,45,509,18,480,383,775,497,354,653,1121,610,289,760,436,475,939,379,286,367,767
PHYHD1,13,48,3,105,24,60,117,22,23,127,14,42,47,4,177,156,7,17,9,207
PHYHIP,1,0,0,0,0,2,3,0,1,0,1,0,2,0,9,0,27,3,0,23
PHYHIPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI15,0,0,0,0,0,66,0,1,0,0,0,1,1,0,0,2,0,0,0,0
PI16,1,9,1,30,9,4,10,11,2,5,2,20,59,8,18,2,15,6,3,20
PI3,0,0,0,18,420,10,1,159,47,31,1,565,63,25,178,0,59,0,5,60
PI4K2A,13,16,10,410,342,531,1082,448,572,385,94,509,199,401,527,346,168,14,134,189
PI4K2B,35,726,20,852,922,1149,850,925,1030,1543,1019,1109,1119,1180,991,1630,490,804,1065,1152
PI4KA,502,5496,371,5824,4818,9984,9194,6827,7750,8375,7773,5062,8912,5249,9174,8658,12852,5643,5643,6521
PI4KAP1,108,490,49,997,510,333,369,311,1195,861,626,992,1170,835,1711,278,447,319,123,621
PI4KAP2,47,718,31,1116,447,754,956,595,574,921,473,536,1105,380,617,563,1774,660,487,695
PI4KB,170,3397,142,3806,2621,4274,3797,3057,3637,4596,2833,2657,4273,3426,4420,4130,8349,3094,3053,2861
PIANP,1,48,1,54,19,22,26,19,18,10,7,7,23,8,15,11,39,17,13,11
PIAS1,41,542,43,921,1544,2051,1587,1635,1415,1736,1122,1159,1390,2192,1279,2383,489,1554,1125,613
PIAS2,68,1198,41,1609,295,778,897,312,571,1051,869,500,775,675,995,745,92,651,522,612
PIAS3,109,1605,39,1182,509,1372,1072,607,927,874,682,805,1000,1054,1977,1031,1038,956,735,1099
PIAS4,34,258,10,421,437,697,644,402,655,904,466,502,590,591,569,789,2459,564,506,403
PIBF1,34,887,16,593,577,910,696,424,692,1027,911,432,979,419,607,1263,18,1095,561,460
PICALM,118,4632,73,7725,7912,11518,10986,12852,11406,9564,3843,6501,9989,11774,6361,8981,1700,5119,4276,3924
PICK1,302,1150,219,1370,546,876,411,550,713,1025,625,428,1223,489,1110,680,2823,365,750,1003
PID1,4,2,3,148,4,108,6,14,34,7,0,75,160,0,5,384,29,0,32,0
PIDD,1612,4677,919,3112,1222,813,954,948,1280,1650,1300,575,1002,903,753,1340,5383,1169,1095,1274
PIEZO1,3217,19274,2164,16631,8242,14101,18372,8084,13614,16750,16144,8987,17893,9069,15580,14042,41491,15497,12934,15932
PIEZO2,7,7,36,2,802,2638,212,49,127,1065,297,419,536,33,1205,128,4619,759,14,2888
PIF1,18,384,34,196,160,3,15,85,242,14,191,107,5,4,17,254,973,8,98,80
PIFO,0,2,0,3,0,19,1,1,3,4,9,12,35,5,22,3,5,35,2,48
PIGA,23,471,9,538,1057,501,420,600,601,432,329,287,495,295,353,465,18,191,227,395
PIGB,18,731,4,498,849,958,485,616,582,919,880,449,626,811,493,748,835,424,470,440
PIGC,50,1322,15,1270,828,1334,853,593,967,1626,1002,1032,1312,987,1338,1490,560,832,962,1067
PIGF,3,237,0,239,215,502,387,293,418,448,378,275,395,232,293,599,42,270,408,352
PIGG,150,2427,77,1778,865,1604,1383,1206,1041,1291,1011,929,1789,1138,1467,1263,1757,1171,1103,1267
PIGH,32,589,11,477,278,245,349,257,298,410,313,216,281,268,576,421,259,208,200,407
PIGK,11,1422,8,913,1434,1982,1057,1031,1961,2178,1517,1112,2083,1029,1096,2171,239,2444,2752,1312
PIGL,23,353,6,256,167,140,192,205,56,185,93,58,147,123,191,168,388,72,160,157
PIGM,90,946,28,948,283,1176,616,357,730,802,748,436,1031,495,1627,1099,860,807,693,629
PIGN,37,769,21,860,622,1707,1360,660,1187,1448,1566,716,1383,823,1217,2328,305,1279,2375,971
PIGO,75,682,59,1004,752,1039,1074,932,936,1433,1356,674,1205,831,839,1645,2497,979,1258,1108
PIGP,5,479,10,457,276,312,374,227,322,631,248,239,581,277,320,322,124,398,328,371
PIGQ,529,1379,476,3065,1179,1154,1010,811,893,1744,942,1003,2114,804,1928,1096,4832,899,1145,1623
PIGR,0,1,1,2,4,2,2,1,0,3,1,5,1,0,0,5,0,0,1,1
PIGS,214,2365,131,2446,2305,3893,3090,2521,3325,4101,2854,2142,3561,2910,2125,4428,6868,2741,3737,3695
PIGT,104,1840,77,1857,2291,3678,2536,2724,3268,5044,3792,2011,3447,3260,2951,5325,13447,2229,8026,5266
PIGU,168,640,111,490,403,759,385,370,1254,974,1180,493,699,349,862,1549,792,446,1053,712
PIGV,37,632,22,584,305,636,361,385,666,1269,819,400,914,605,1029,1164,743,989,783,483
PIGW,14,470,5,288,173,237,284,91,150,428,335,198,281,119,230,507,60,173,306,424
PIGX,28,772,9,1125,1436,1508,978,955,814,1111,567,696,1029,686,542,1269,667,765,1059,940
PIGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIGZ,154,1125,173,993,291,278,255,192,114,217,102,100,224,230,177,170,575,200,310,343
PIH1D1,749,3746,484,2733,1298,1648,1664,1310,1482,3121,1284,1242,1770,1307,1907,2312,4070,1331,1598,2651
PIH1D2,2,4,2,5,20,60,7,9,18,20,21,7,68,3,42,36,1,15,21,32
PIH1D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3AP1,104,4284,51,4748,11873,16211,12142,9086,9354,9239,4148,6957,6640,8436,2315,11719,7392,4638,5843,4383
PIK3C2A,28,718,15,1104,684,2294,1614,1165,1677,1306,1102,872,1424,1131,1896,2131,122,1217,1203,755
PIK3C2B,37,215,81,407,212,1938,1951,193,224,696,207,814,1471,336,2018,488,372,1365,1255,1385
PIK3C2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3C3,134,1083,53,1075,658,2434,1390,1177,1713,2444,1241,1042,2243,1475,2100,2977,136,1932,1877,1423
PIK3CA,29,880,14,1061,1132,1306,1586,1164,1161,1246,816,1010,1290,1142,1355,1141,75,952,814,570
PIK3CB,99,870,64,1726,2404,4538,1870,1710,2529,3261,2466,1637,3582,1915,1063,4534,545,1838,2740,1636
PIK3CD,453,8846,529,10891,10666,10063,10808,11457,10941,10132,6669,7139,6801,8983,7832,8797,37175,4209,6198,3452
PIK3CG,13,387,10,562,2042,2562,2542,2231,2983,3923,2131,758,2239,2851,1758,3647,3141,977,2313,971
PIK3IP1,23,2264,27,1906,1170,2357,3341,1172,1844,2873,299,799,2572,2346,3119,1754,442,1915,457,934
PIK3R1,91,3576,50,2760,3035,6110,6116,3488,4704,7749,3952,2332,6481,2405,4554,6762,1152,3918,4606,3468
PIK3R2,84,944,58,1490,1024,2389,1412,1006,1946,2056,1542,1364,2385,1205,3733,1887,3956,1712,2319,2479
PIK3R3,3,7,0,258,18,201,13,26,41,39,25,63,103,47,2037,51,15,10,29,32
PIK3R4,53,860,21,978,553,1587,1185,634,1304,1584,1096,965,1042,1171,1418,2169,378,1022,1387,606
PIK3R5,159,227,70,4148,4010,4905,3122,6104,3686,4785,965,3062,2662,5070,5026,3592,10804,420,2057,1271
PIK3R6,845,946,471,1035,1275,2001,628,1202,902,1787,488,1025,2295,434,475,1972,3637,1203,1333,2545
PIKFYVE,79,3966,56,3018,4303,7027,6275,5366,5580,6103,5996,2943,5668,5239,5621,6607,1132,3595,4991,3571
PILRA,43,103,41,2583,3315,4578,2588,4854,4090,2687,684,1179,1718,4544,172,2286,5138,202,431,206
