gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
AFF4,41,1707,24,2203,2390,4378,3921,2718,3155,3404,2547,2604,4077,2814,2126,2918,983,2263,2606,2163
AFG3L1P,283,1336,169,1534,422,808,754,697,963,761,584,416,782,552,483,904,1067,405,518,509
AFG3L2,198,3077,185,2259,1761,2498,2522,1488,1730,4015,2767,1687,2359,1821,2075,3986,1985,2078,2891,3706
AFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFMID,176,1432,45,725,410,764,795,317,673,1511,874,471,865,387,717,1157,869,884,730,1257
AFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFTPH,220,3143,111,3273,2598,5088,4415,3277,4434,4312,2751,2577,3966,3519,4226,4443,877,2628,2668,2427
AGA,59,768,38,990,1006,1101,926,763,1252,834,948,301,1118,873,445,1259,768,618,746,912
AGAP1,1,6,0,44,26,19,727,28,50,9,53,344,14,730,19,8,74,0,8,10
AGAP11,1,51,3,58,6,16,2,2,4,10,1,5,10,0,5,7,27,2,0,23
AGAP2,224,1908,210,1791,2161,2522,1141,1070,2254,3371,1586,1293,2009,1376,4919,1778,14985,1246,2287,2112
AGAP3,399,1702,192,3654,1000,1405,2664,349,1295,723,1043,530,820,2634,1292,1196,964,954,249,990
AGAP4,28,247,9,16,14,169,82,71,62,175,7,8,98,89,152,87,269,157,91,113
AGAP5,35,348,8,330,99,205,300,183,203,188,212,128,249,118,235,329,287,196,125,126
AGAP6,329,2670,166,2199,218,761,723,499,662,616,526,377,715,294,748,912,772,441,483,441
AGAP7,11,101,2,435,122,118,36,125,72,50,20,29,107,13,178,48,108,25,18,83
AGAP8,43,260,8,314,47,35,91,77,81,35,78,66,90,24,29,67,40,24,27,30
AGAP9,6,70,6,58,18,46,29,12,48,18,36,14,76,24,29,39,47,44,39,31
AGBL1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AGBL2,29,41,8,50,38,236,58,22,125,163,33,85,88,13,66,90,12,125,68,96
AGBL3,2,222,0,163,35,131,62,22,28,112,28,25,105,14,96,45,93,55,67,126
AGBL4,0,3,0,5,1,2,0,1,0,5,1,0,4,0,4,1,0,2,3,7
AGBL5,48,617,37,643,1064,1250,949,477,862,2055,779,803,1715,447,1945,1148,3354,1028,973,1770
AGER,428,1851,452,2172,845,721,678,1032,607,857,321,512,841,693,1073,606,1730,496,325,426
AGFG1,110,1934,55,4226,5901,4451,3514,7481,5719,4030,1967,3092,3099,4843,2733,4987,2318,1859,1995,1528
AGFG2,105,232,83,271,220,404,321,106,308,368,168,235,418,129,263,428,826,204,439,225
AGGF1,83,1600,49,1458,1161,2421,1607,1393,1858,2563,1590,1208,1675,1649,2069,2700,956,1420,1839,1613
AGK,58,1921,39,1597,734,1222,1021,480,738,1407,904,390,1224,583,643,1212,441,516,1059,1305
AGL,41,1196,48,1014,1238,1667,880,1210,1454,1760,1308,885,1380,1092,1558,1434,313,780,1432,828
AGMAT,7,65,2,41,61,74,84,16,93,195,338,143,104,14,66,259,58,34,156,169
AGMO,0,2,1,0,1,11,0,1,3,0,0,1,27,1,0,0,0,24,8,4
AGO1,43,978,38,2177,2073,3531,3556,4499,2274,3547,2353,2052,2746,1740,3128,2956,2463,1448,2042,1210
AGO2,46,413,22,440,1016,705,1078,838,1009,854,881,977,613,1090,1389,935,1562,602,491,710
AGO3,12,245,10,248,563,732,626,805,663,668,531,572,578,383,793,791,396,443,593,418
AGO4,187,3590,159,5119,9217,7332,9609,13118,6907,6468,3873,3104,5104,11336,3112,6048,4102,3157,3652,2534
AGPAT1,42,1017,16,1373,1998,2863,1734,1724,2348,2718,1276,2030,2723,1216,2925,2347,6164,1887,2306,1904
AGPAT2,225,2854,188,2754,2497,2432,3350,2031,1971,4115,1268,1550,2353,3934,2668,2393,12033,2064,2008,3190
AGPAT3,94,1280,46,3361,1959,5035,4954,3103,3573,3221,403,3407,4692,3524,5250,2936,1771,1913,1682,2038
AGPAT4,230,280,76,1667,713,2257,621,726,382,662,144,869,1413,350,2891,1172,865,6,882,1158
AGPAT4.IT1,4,2,4,72,48,149,43,50,19,15,6,66,64,21,159,66,49,2,42,59
AGPAT5,72,2393,35,1649,551,1979,1642,383,1312,3020,2767,1897,2513,644,3529,2367,651,1781,2089,962
AGPAT6,653,2938,561,4687,2775,2751,3792,3333,2251,3382,1597,2844,2731,5760,2964,2668,3157,1462,1605,2308
AGPAT9,62,708,11,1245,819,588,902,1226,424,684,80,671,198,1751,2107,1046,855,775,1992,413
AGPHD1,1,4,2,3,7,8,20,0,0,4,3,9,3,1,35,5,0,1,1,6
AGPS,48,1969,29,1810,3028,4533,3076,2661,2762,6176,3125,4463,3706,2713,7750,4716,1432,2926,3708,2837
AGR2,0,33,2,0,0,1,14,0,0,15,1,18,1,0,0,0,1,6,15,4
AGR3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AGRN,55,200,16,901,322,1097,3303,372,3764,512,5036,567,1120,320,29,789,1096,1135,505,342
AGRP,1,1,1,3,4,13,7,6,8,11,5,3,8,19,1,20,38,2,12,2
AGSK1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGT,0,0,0,0,12,1,0,0,1,5,0,1,0,68,0,17,3,0,0,0
AGTPBP1,164,3496,124,4446,7825,3824,6409,7985,2577,4120,1374,2561,1816,7223,1346,3349,675,1240,1962,1203
AGTR1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP,147,446,178,4585,6040,3776,2776,5326,5056,4845,2422,2049,1978,6304,585,3673,13523,9,1911,722
AGXT,9,0,2,0,0,25,0,0,156,107,109,0,0,0,0,183,74,1,0,77
AGXT2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AGXT2L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGXT2L2,1259,6149,532,4257,2563,2870,3341,2526,2418,2427,1450,1900,3262,2325,1511,2598,5662,2160,1840,3433
AHCTF1,101,2649,25,1877,1865,1794,1928,1263,1977,1988,1905,1507,1839,1557,1885,2926,282,1561,1620,1013
AHCTF1P1,2,19,0,20,14,20,16,12,24,41,20,11,13,12,26,27,1,22,18,21
AHCY,153,2690,51,1895,3263,3713,3174,2106,5250,10029,7771,3898,5299,2633,5999,7491,10776,3206,6902,9198
